0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
3073.4,46753.0,42111.2,34364.1,33466.5,33827.6,41167.5,1284.2,781.1,1132.2,1008.3,1057.4,1724.2,319.4,1274.7,943.8,1588.9,0.0,2655.9,531.4,1369.8,1022.5,764.8,1270.4,0.0,633.1,1185.9,899.9,1325.2,2761.7,3796.2,4045.0,3884.6,2776.4,3957.2,3877.6
3292.6,47651.5,43009.6,35262.6,34364.9,34726.1,42066.0,2382.3,1697.3,1523.7,1448.5,1497.6,2265.2,2597.9,996.0,2584.5,1889.9,2351.1,0.0,2281.3,2467.9,1462.8,1681.0,2687.1,2351.1,2728.8,1165.3,2730.5,1023.0,1601.8,2725.5,2145.4,2814.0,1431.5,2886.6,2807.0
3388.2,47067.8,42426.0,34678.9,33781.2,34142.4,41482.3,1599.0,1095.8,1447.0,1323.0,1372.2,1640.2,538.7,1589.5,1163.0,1903.7,570.2,2970.7,0.0,1684.6,1337.3,1079.6,1585.2,570.2,260.5,1500.7,1214.7,1640.0,3076.4,4110.9,4359.8,4199.4,3091.2,4272.0,4192.4
1715.0,45701.0,41059.1,33312.1,32414.4,32775.5,40115.5,722.2,1109.2,921.0,1463.7,1512.8,2522.2,1438.3,1454.8,615.2,566.8,1560.1,2134.8,1836.1,0.0,1477.9,1125.5,756.4,1560.1,1937.8,1641.3,761.2,1780.6,1642.2,2445.2,2694.0,2533.6,1774.6,2606.2,2526.6
2661.0,47019.9,42378.1,34631.0,33733.4,34094.5,41434.4,1221.5,368.7,719.9,14.3,34.9,1515.6,1269.3,558.4,1457.7,1176.6,1022.5,1462.8,952.7,1307.0,0.0,352.4,1526.2,1022.5,1400.2,297.5,1160.3,436.8,2349.3,3391.2,3640.0,3479.6,2364.1,3552.2,3472.6
2308.6,46667.5,42025.6,34278.6,33380.9,33742.1,41082.0,869.0,16.3,367.4,338.2,387.3,1726.9,1011.6,604.6,1105.2,824.1,764.8,1891.1,1040.8,954.6,352.4,0.0,1173.8,764.8,1142.5,515.8,902.6,655.1,1996.9,3038.7,3287.5,3127.2,2011.6,3199.8,3120.2
1806.6,45482.6,40840.8,33093.7,32196.1,32557.2,39897.1,813.8,1200.8,1012.6,1555.2,1604.4,2424.4,1340.5,1546.4,517.3,658.3,1462.3,2226.4,1738.3,899.3,1569.5,1217.1,0.0,1462.3,1839.9,1732.8,663.4,1872.2,1733.8,2525.8,2774.6,2614.2,1866.2,2686.8,2607.2
3073.4,46753.0,42111.2,34364.1,33466.5,33827.6,41167.5,1284.2,781.1,1132.2,1008.3,1057.4,1724.2,319.4,1274.7,943.8,1588.9,0.0,2655.9,531.4,1369.8,1022.5,764.8,1270.4,0.0,633.1,1185.9,899.9,1325.2,2761.7,3796.2,4045.0,3884.6,2776.4,3957.2,3877.6
3451.1,47130.7,42488.8,34741.8,33844.1,34205.3,41545.2,1661.9,1158.7,1509.9,1385.9,1435.1,1763.5,764.2,1652.4,1672.6,1966.6,633.1,3033.6,223.0,1747.5,1400.2,1142.5,1648.1,633.1,0.0,1563.6,1277.6,1702.9,3139.3,4173.8,4422.7,4262.3,3154.1,4334.9,4255.3
2824.4,47183.2,42541.4,34794.4,33896.7,34257.8,41597.8,1384.8,532.0,883.2,283.2,332.4,1218.1,1432.6,838.0,1621.0,1339.9,1185.9,1165.3,1116.0,1470.3,297.5,515.8,1689.6,1185.9,1563.6,0.0,1323.7,455.1,2512.6,3554.5,3803.3,3643.0,2527.4,3715.5,3635.9
2278.1,45954.1,41312.3,33565.3,32667.6,33028.7,40368.6,485.4,918.9,1026.0,1146.0,1195.2,1862.0,778.1,1670.3,395.1,782.3,899.9,2350.3,1175.9,570.9,1160.3,902.6,471.5,899.9,1277.6,1323.7,0.0,1463.0,1955.0,2997.3,3246.1,3085.8,1969.8,3158.3,3078.7
2963.7,47322.6,42680.8,34933.7,34036.1,34397.2,41737.1,1524.2,671.4,1022.6,422.6,471.7,1608.0,1572.0,462.4,1760.3,1479.2,1325.2,1023.0,1255.4,1609.7,436.8,655.1,1828.9,1325.2,1702.9,508.0,1463.0,0.0,1998.9,3693.9,3942.7,3782.3,1804.2,3854.9,3775.3
2770.2,47115.6,42473.8,34726.7,33829.1,34190.2,41530.1,1553.8,1940.8,1499.2,2295.3,2344.4,3676.2,2592.3,1550.7,1790.0,1215.4,2721.9,1601.8,2997.9,1639.3,2309.5,1957.1,1858.6,2721.9,3099.6,2472.9,1915.2,2013.4,0.0,1119.9,528.7,1222.9,514.3,1150.1,1176.8
1509.0,46137.8,41496.0,33748.9,32851.3,33212.4,40552.3,2814.0,3201.0,3012.8,3555.5,3604.6,4771.3,3687.4,2696.3,2864.3,2254.9,3809.2,2725.5,4085.2,2899.5,3569.7,3217.3,3005.6,3809.2,4186.9,3733.1,3010.3,3872.4,1119.9,0.0,1340.9,625.0,1827.8,1323.9,56.9
3127.0,47472.4,42830.6,35083.5,34185.9,34547.0,41886.9,1954.1,3283.5,1899.5,3637.9,3687.0,5020.2,3936.2,1589.7,3113.1,1556.4,4058.0,2145.4,4334.0,2039.6,3652.2,3299.7,3254.4,4058.0,4435.7,3815.5,3259.2,2890.9,566.7,1340.9,0.0,937.5,940.3,658.0,1397.8
2966.7,47312.0,42670.2,34923.2,34025.5,34386.6,41726.6,2736.1,3123.1,2934.9,3477.5,3526.7,4859.8,3775.9,2784.7,2952.8,2343.4,3897.7,2814.0,4173.7,2821.6,3491.8,3139.4,3094.0,3897.7,4275.4,3655.2,3098.8,3794.5,1222.9,625.0,937.5,0.0,1916.3,698.9,711.0
2990.9,47343.9,42702.1,34955.0,34057.4,34418.5,41758.4,1608.3,1573.1,1222.0,1927.6,1976.7,3316.3,2601.0,845.7,1844.5,1210.6,2354.2,1027.1,2630.2,1693.8,1941.9,1589.4,1913.1,2354.2,2731.9,2105.2,2428.8,1301.6,514.3,1827.8,914.6,1916.3,0.0,1988.9,1909.3
3039.2,47384.6,42742.8,34995.7,34098.1,34459.2,41799.1,2808.7,3195.7,3007.5,3550.1,3599.3,4932.4,3848.5,2857.3,3025.3,2415.9,3970.3,2886.6,4246.3,2894.2,3564.4,3212.0,3166.6,3970.3,4347.9,3727.7,3171.4,3867.1,862.3,1323.9,646.9,698.9,1988.9,0.0,1409.9
1452.0,46080.9,41439.0,33692.0,32794.3,33155.5,40495.4,2757.1,3144.1,2955.9,3498.5,3547.7,4852.8,3768.8,2777.7,2945.7,2601.6,3890.7,2807.0,4166.6,2842.6,3512.8,3160.4,3061.8,3890.7,4268.3,3676.1,3091.8,3815.5,1176.8,56.9,1397.8,711.0,1909.3,1409.9,0.0
